Name,ID,OD,Width,Radius
681,1,3,1,0.05
MR31,,3,1.5,0.05
691,,4,1.6,0.1
MR41X,1.2,4,1.8,0.1
681X,1.5,4,1.2,0.05
691X,,5,2,0.15
601X,,6,2.5,0.15
682,2,5,1.5,0.08
MR52,,5,2,0.1
692,,6,2.3,0.15
MR62,,6,2.5,0.15
MR72,,7,2.5,0.15
602,,7,2.8,0.15
682X,2.5,6,1.8,0.08
692X,,7,2.5,0.15
MR82,,8,2.5,0.2
602X,,8,2.8,0.15
MR63,3,6,2,0.1
683,,7,2,0.1
MR83,,8,2.5,0.15
693,,8,3,0.15
MR93,,9,2.5,0.2
603,,9,3,0.15
623,,10,4,0.15
633,,13,5,0.2
MR74,4,7,2,0.1
MR84,,8,2,0.15
684,,9,2.5,0.1
MR104,,10,3,0.2
694,,11,4,0.15
604,,12,4,0.2
624,,13,5,0.2
634,,16,5,0.3
MR85,5,8,2,0.1
MR95,,9,2.5,0.15
MR105,,10,3,0.15
685,,11,3,0.15
695,,13,4,0.2
605,,14,5,0.2
625,,16,5,0.3
635,,19,6,0.3
MR106,6,10,2.5,0.15
MR126,,12,3,0.2
686,,13,3.5,0.15
696,,15,5,0.2
606,,17,6,0.3
626,,19,6,0.3
636,,22,7,0.3
MR117,7,11,2.5,0.15
MR137,,13,3,0.2
MR147,,14,3.5,0.15
697,,17,5,0.3
607,,19,6,0.3
627,,22,7,0.3
637,,26,9,0.3
MR128,8,12,2.5,0.15
MR148,,14,3.5,0.2
688,,16,4,0.2
698,,19,6,0.3
608,,22,7,0.3
628,,24,8,0.3
638,,28,9,0.3
679,9,14,3,0.1
689,,17,4,0.2
699,,20,6,0.3
609,,24,7,0.3
629,,26,8,0.3
639,,30,10,0.6
6000,10,26,8,0.3
6001,12,28,8,0.3
6002,15,32,9,0.3
6003,17,35,10,0.3
6004,20,42,12,0.6
60/22,22,44,12,0.6
6005,25,47,12,0.6
60/28,28,52,12,0.6
6006,30,55,13,1
60/32,32,58,13,1
6007,35,62,14,1
6008,40,68,15,1
6009,45,75,16,1
6010,50,80,16,1
6011,55,90,18,1.1
6012,60,95,18,1.1
6013,65,100,18,1.1
6014,70,110,20,1.1
6015,75,115,20,1.1
6016,80,125,22,1.1
6017,85,130,24,1.1
6018,90,140,24,1.5
6019,95,145,24,1.5
6020,100,150,24,1.5
6021,105,160,26,2
6022,110,170,28,2
6024,120,180,28,2
6026,130,200,33,2
6028,140,210,33,2
6030,150,225,35,2.1
6032,160,240,38,2.1
6200,10,30,9,0.6
6201,12,32,10,0.6
6202,15,35,11,0.6
6203,17,40,12,0.6
6204,20,47,14,1
62/22,22,50,14,1
6205,25,52,15,1
62/28,28,58,16,1
6206,30,62,16,1
62/32,32,65,17,1
6207,35,72,17,1.1
6208,40,80,18,1.1
6209,45,85,19,1.1
6210,50,90,20,1.1
6211,55,100,21,1.5
6212,60,110,22,1.1
6213,65,120,23,1.5
6214,70,125,24,1.5
6215,75,130,25,1.5
